date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:05:00	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:04:59%20GMT	https://vk.link/widget_community.php	D:/copy%20sites/vk%20FN/vk.link/widget_community.php	(from https://vk.com/js/api/openapi.js?168)
02:05:00	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:04:59%20GMT	https://vk.link/widget_auth.php	D:/copy%20sites/vk%20FN/vk.link/widget_auth.php	(from https://vk.com/js/api/openapi.js?168)
02:05:01	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:00%20GMT	https://vk.link/widget_subscribe.php	D:/copy%20sites/vk%20FN/vk.link/widget_subscribe.php	(from https://vk.com/js/api/openapi.js?168)
02:05:01	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:00%20GMT	https://vk.link/widget_contactus.php	D:/copy%20sites/vk%20FN/vk.link/widget_contactus.php	(from https://vk.com/js/api/openapi.js?168)
02:05:01	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:00%20GMT	https://vk.link/widget_bookmarks.php	D:/copy%20sites/vk%20FN/vk.link/widget_bookmarks.php	(from https://vk.com/js/api/openapi.js?168)
02:05:01	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:00%20GMT	https://vk.link/widget_playlist.php	D:/copy%20sites/vk%20FN/vk.link/widget_playlist.php	(from https://vk.com/js/api/openapi.js?168)
02:05:02	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:01%20GMT	https://vk.link/ads_rotate.php	D:/copy%20sites/vk%20FN/vk.link/ads_rotate.php	(from https://vk.com/js/api/openapi.js?168)
02:05:02	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:01%20GMT	https://vk.link/web/ads_light.js?	D:/copy%20sites/vk%20FN/vk.link/web/ads_lightd41d.js	(from https://vk.com/js/api/openapi.js?168)
02:05:02	0/0	---M-Z	302	error ('Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:01%20GMT	https://vk.link/widget_allow_messages_from_community.php	D:/copy%20sites/vk%20FN/vk.link/widget_allow_messages_from_community.php	(from https://vk.com/js/api/openapi.js?168)
02:05:02	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:01%20GMT	https://vk.link/widget_article.php	D:/copy%20sites/vk%20FN/vk.link/widget_article.php	(from https://vk.com/js/api/openapi.js?168)
